EmployeeId,billable,nonbillable,total,billable_ratio
438,1315.57,1469.85,2785.42,47.23
447,176.0,1022.1,1198.1,14.69
452,1125.98,1327.5,2453.48,45.89
470,855.38,1947.8000000000002,2803.1800000000003,30.51
473,3405.789999999999,2834.3,6240.089999999999,54.58
477,2470.4499999999994,3673.0799999999995,6143.529999999999,40.21
480,6712.5199999999995,6548.5999999999985,13261.119999999999,50.62
503,992.14,1026.6,2018.7399999999998,49.15
508,4821.89,3752.100000000001,8573.990000000002,56.24
512,5638.679999999998,6355.550000000001,11994.23,47.01
518,340.8500000000001,2501.7,2842.5499999999997,11.99
521,4902.53,2814.92,7717.45,63.53
540,733.6300000000001,840.15,1573.7800000000002,46.62
542,1026.64,2503.3500000000004,3529.9900000000007,29.08
546,1848.3400000000001,3563.1999999999994,5411.539999999999,34.16
549,3374.1099999999983,6118.700000000002,9492.81,35.54
552,7734.010000000003,3653.1,11387.110000000002,67.92
553,4902.6,4955.8499999999985,9858.449999999999,49.73
554,3862.259999999999,5073.550000000001,8935.81,43.22
564,2941.580000000001,4732.950000000001,7674.530000000002,38.33
575,2507.89,3161.15,5669.04,44.24
586,2486.3799999999997,4164.549999999998,6650.9299999999985,37.38
592,2854.2200000000003,5371.150000000002,8225.370000000003,34.7
595,655.7600000000002,905.3500000000001,1561.1100000000004,42.01
613,1383.04,905.6100000000004,2288.6500000000005,60.43
616,1298.4500000000003,3054.6500000000005,4353.1,29.83
624,1524.3300000000002,0.0,1524.3300000000002,100.0
649,609.95,0.0,609.95,100.0
655,2516.8599999999988,1608.1499999999999,4125.009999999998,61.01
661,10427.06000000001,7165.57,17592.630000000012,59.27
675,5638.19,5610.709999999998,11248.899999999998,50.12
691,1089.2400000000002,1544.3199999999997,2633.56,41.36
710,2550.9400000000005,684.25,3235.1900000000005,78.85
719,5332.209999999997,2957.6700000000005,8289.879999999997,64.32
725,1427.4,1056.6,2484.0,57.46
736,107.15,57.0,164.15,65.28
755,533.6299999999998,780.8000000000001,1314.4299999999998,40.6
759,1192.73,864.75,2057.48,57.97
769,3444.8899999999967,933.6999999999999,4378.5899999999965,78.68
771,934.6300000000002,721.3899999999999,1656.02,56.44
773,1949.4699999999991,1068.1599999999999,3017.629999999999,64.6
791,2526.1600000000003,2297.800000000001,4823.960000000001,52.37
797,1136.8,461.54999999999995,1598.35,71.12
799,3294.309999999998,2310.4,5604.709999999998,58.78
804,4503.019999999998,3154.7,7657.7199999999975,58.8
807,149.35,228.25,377.6,39.55
811,619.5000000000001,210.4,829.9000000000001,74.65
814,2160.9500000000003,2559.2700000000004,4720.220000000001,45.78
823,4253.089999999997,4290.92,8544.009999999998,49.78
837,4475.2300000000005,3358.4299999999994,7833.66,57.13
839,1906.1100000000001,2041.32,3947.4300000000003,48.29
845,505.0699999999998,1327.6000000000004,1832.67,27.56
853,1979.7599999999998,2477.81,4457.57,44.41
854,1189.2900000000002,1739.6199999999997,2928.91,40.61
863,1928.7999999999997,2103.5499999999997,4032.3499999999995,47.83
868,1573.95,1801.55,3375.5,46.63
874,6295.0099999999975,6370.469999999999,12665.479999999996,49.7
879,1010.05,1034.4899999999998,2044.5399999999997,49.4
880,0.0,7.35,7.35,0.0
881,1604.4199999999992,1312.4999999999998,2916.919999999999,55.0
883,761.35,1081.93,1843.2800000000002,41.3
884,1506.4499999999998,1096.23,2602.68,57.88
890,3017.6299999999983,718.6999999999999,3736.329999999998,80.76
897,664.0500000000001,793.4000000000001,1457.4500000000003,45.56
899,316.85,577.1,893.95,35.44
905,160.54999999999998,1860.139999999999,2020.689999999999,7.95
910,3323.3799999999983,1038.6,4361.979999999998,76.19
917,755.7800000000003,1261.5500000000002,2017.3300000000004,37.46
925,3635.7700000000004,4392.600000000001,8028.370000000002,45.29
927,1084.15,2642.15,3726.3,29.09
936,2679.649999999999,1249.5,3929.149999999999,68.2
943,2131.749999999999,4235.43,6367.179999999999,33.48
946,6008.25,5290.660000000003,11298.910000000003,53.18
947,1133.9500000000003,661.3699999999999,1795.3200000000002,63.16
957,1362.9699999999996,4353.88,5716.849999999999,23.84
960,1267.64,658.85,1926.4900000000002,65.8
964,1063.4999999999998,420.25,1483.7499999999998,71.68
965,215.6,112.25,327.85,65.76
976,2403.72,2785.6,5189.32,46.32
979,744.0,0.0,744.0,100.0
991,2692.360000000001,451.97,3144.330000000001,85.63
995,6927.229999999994,6567.730000000001,13494.959999999995,51.33
997,3140.600000000001,2731.49,5872.09,53.48
999,4098.350000000002,5768.2300000000005,9866.580000000002,41.54
1006,6779.1300000000065,8517.299999999996,15296.430000000002,44.32
1010,1195.7800000000002,3954.05,5149.83,23.22
1013,1808.09,1587.8,3395.89,53.24
1021,1085.0399999999997,2388.2999999999997,3473.3399999999992,31.24
1022,1854.07,5540.08,7394.15,25.07
1027,3376.4000000000005,2827.8500000000004,6204.250000000001,54.42
1028,4089.41,678.8000000000001,4768.21,85.76
1031,7732.819999999992,5532.6,13265.419999999993,58.29
1032,3092.8200000000024,2206.7900000000004,5299.610000000002,58.36
1036,2236.7999999999984,1704.2499999999998,3941.0499999999984,56.76
1038,5260.3700000000035,3102.8100000000004,8363.180000000004,62.9
1040,7334.8300000000045,8344.210000000003,15679.040000000008,46.78
1045,4705.540000000001,3979.8700000000013,8685.410000000002,54.18
1047,122.30000000000001,279.75,402.05,30.42
1050,6080.329999999996,4864.85,10945.179999999997,55.55
1054,3892.7599999999984,3119.7799999999993,7012.539999999997,55.51
1058,738.9,0.0,738.9,100.0
1060,424.66,0.0,424.66,100.0
1064,502.22999999999996,350.65,852.8799999999999,58.89
1066,5292.8300000000045,3946.2400000000002,9239.070000000005,57.29
1067,706.6400000000002,242.2,948.8400000000001,74.47
1069,2345.759999999999,1210.8799999999999,3556.6399999999985,65.95
1070,610.16,668.75,1278.9099999999999,47.71
1073,3133.3199999999993,3005.719999999999,6139.039999999998,51.04
1075,3035.3600000000006,2419.4199999999996,5454.780000000001,55.65
1079,4287.779999999997,1943.5699999999997,6231.349999999997,68.81
1082,12247.940000000026,6117.659999999999,18365.600000000024,66.69
1083,3626.349999999996,1804.0200000000002,5430.369999999996,66.78
1085,1043.7999999999995,661.15,1704.9499999999994,61.22
1087,1090.7499999999998,1219.2499999999995,2309.999999999999,47.22
1090,7.35,816.24,823.59,0.89
1091,1371.4000000000005,3756.390000000001,5127.790000000001,26.74
1092,6035.639999999999,1403.8500000000001,7439.49,81.13
1094,1050.15,239.55,1289.7,81.43
1098,3464.329999999997,3098.9700000000003,6563.299999999997,52.78
1100,682.1099999999999,1316.75,1998.86,34.12
1101,3087.3799999999983,2251.13,5338.509999999998,57.83
1103,1151.8200000000002,1308.3200000000002,2460.1400000000003,46.82
1105,654.5300000000001,700.8999999999999,1355.4299999999998,48.29
1106,5406.409999999997,2937.55,8343.959999999997,64.79
1108,2905.779999999999,3227.1800000000003,6132.959999999999,47.38
1110,8936.54000000001,3789.230000000001,12725.770000000011,70.22
1111,4992.869999999997,3849.9500000000003,8842.819999999998,56.46
1113,532.5699999999999,283.83000000000004,816.4,65.23
1118,3083.639999999999,3568.3199999999997,6651.959999999999,46.36
1119,1579.259999999999,349.95,1929.2099999999991,81.86
1120,344.95,69.85,414.79999999999995,83.16
1122,7146.1299999999965,1996.15,9142.279999999997,78.17
1123,83.15,477.0,560.15,14.84
1127,3848.409999999999,4567.270000000002,8415.68,45.73
1132,172.54999999999998,1247.3999999999999,1419.9499999999998,12.15
1133,6388.8099999999995,1703.05,8091.86,78.95
1134,5571.679999999997,3094.13,8665.809999999998,64.29
1135,1847.2900000000004,2088.63,3935.9200000000005,46.93
1139,3433.8500000000004,2722.3800000000006,6156.230000000001,55.78
1141,5889.660000000005,4022.6000000000004,9912.260000000006,59.42
1147,642.8700000000003,1082.6,1725.4700000000003,37.26
1148,1182.200000000001,1338.5500000000002,2520.750000000001,46.9
1149,3538.7699999999977,2670.97,6209.739999999998,56.99
1150,4461.4299999999985,3456.6899999999996,7918.119999999998,56.34
1151,1485.5299999999997,1811.3199999999997,3296.8499999999995,45.06
1152,1457.4499999999998,846.45,2303.8999999999996,63.26
1153,1616.7400000000002,1370.8,2987.54,54.12
1156,512.9800000000001,1798.3999999999999,2311.38,22.19
1158,1398.5099999999995,553.6999999999998,1952.2099999999994,71.64
1159,65.77000000000001,156.7,222.47,29.56
1160,2541.0899999999983,4210.279999999999,6751.369999999997,37.64
1161,1352.3699999999997,215.95,1568.3199999999997,86.23
1164,5230.6500000000015,3389.2000000000003,8619.850000000002,60.68
1165,2100.7499999999986,2055.4000000000005,4156.15,50.55
1166,730.8200000000003,4375.3,5106.120000000001,14.31
1170,3546.9899999999975,4037.38,7584.369999999997,46.77
