ClientNum,Profit
CLT1331,3478.92
CLT1332,23478.67
CLT1333,2210.68
CLT1334,3998.03
CLT1335,17571.21
CLT1336,8972.83
CLT1337,941411.18
CLT1338,1820.56
CLT1339,8482.14
CLT1340,6440.95
CLT1341,34844.3
CLT1342,27048.39
CLT1343,43154.03
CLT1344,118120.11
CLT1345,87353.97
CLT1346,4854.95
CLT1347,18822.42
CLT1348,4196.14
CLT1349,3222.85
CLT1350,7404.03
CLT1351,2648.81
CLT1352,13774.37
CLT1353,85.8
CLT1354,21584.58
CLT1355,171116.45
CLT1356,93116.16
CLT1357,7957.94
CLT1358,17040.7
CLT1359,16016.01
CLT1360,4708.28
CLT1361,2080.64
CLT1362,30816.73
CLT1363,10420.0
CLT1364,6832.65
CLT1365,13626.69
CLT1366,163520.62
CLT1367,16300.19
CLT1368,9237.5
CLT1369,49083.77
CLT1370,8960.5
CLT1371,660.93
CLT1372,2947.23
CLT1373,155568.65
CLT1374,3251.01
CLT1375,57614.8
CLT1376,4328.09
CLT1377,5995.02
CLT1378,21322.68
CLT1379,20463.39
CLT1380,69555.55
CLT1381,627.15
CLT1382,5436.52
CLT1383,11351.64
CLT1384,19063.18
CLT1385,166861.38
CLT1386,2095.94
CLT1387,32522.54
CLT1388,38327.18
CLT1389,83128.33
CLT1390,19342.59
CLT1391,35009.38
CLT1392,39443.03
CLT1393,29779.6
CLT1394,21407.48
CLT1395,11322.69
CLT1396,15072.66
CLT1397,11832.4
CLT1398,13068.47
CLT1399,159333.78
CLT1400,5621.24
CLT1401,378726.47
CLT1402,7397.31
CLT1403,845.66
CLT1404,6414.7
CLT1405,5638.66
CLT1406,15098.05
CLT1407,36303.53
CLT1408,223141.79
CLT1409,2938.65
CLT1410,29121.36
CLT1411,11289.25
CLT1412,3621.03
CLT1413,16060.76
CLT1414,97017.55
CLT1415,9384.42
CLT1416,2993.88
CLT1417,40342.18
CLT1418,22765.73
CLT1419,15050.98
CLT1420,10791.81
CLT1421,9768.87
CLT1422,168.92
CLT1423,11703.67
CLT1424,50906.0
CLT1425,4508.52
CLT1426,12030.81
CLT1427,16443.63
CLT1428,9353.31
CLT1429,62139.48
CLT1430,101194.08
CLT1431,2835.43
CLT1432,15232.22
CLT1433,47878.91
CLT1434,335250.42
CLT1435,26365.29
CLT1436,133614.63
CLT1437,33604.67
CLT1438,30217.77
CLT1439,134697.3
CLT1440,3606.29
CLT1441,8532.08
CLT1442,999.57
CLT1443,138854.09
CLT1444,3887.27
CLT1445,121880.88
CLT1446,1434.47
CLT1447,43056.64
CLT1448,14389.22
CLT1449,5379.38
CLT1450,1871.52
CLT1451,142481.78
CLT1452,0.0
CLT1453,11188.32
CLT1454,34510.14
CLT1455,1825.95
CLT1456,28141.82
CLT1457,9151.65
CLT1458,17385.78
CLT1459,239701.57
CLT1460,4399.12
CLT1461,9254.36
CLT1462,132856.95
CLT1463,23125.37
CLT1464,24630.03
CLT1465,91.16
CLT1466,50261.52
CLT1467,27044.44
CLT1468,300821.07
CLT1469,9452.78
CLT1470,171702.99
CLT1471,772.2
CLT1472,14282.47
CLT1473,1922.19
CLT1474,81897.42
CLT1475,158019.19
CLT1476,14010.92
CLT1477,36654.38
CLT1478,193745.16
CLT1479,5944.34
CLT1480,9805.07
CLT1481,7520.93
CLT1482,2663.29
CLT1483,32567.17
CLT1484,149731.24
CLT1485,5791.51
