ClientNum,billable,nonbillable,total,billable_ratio
CLT3219,267.75,0.0,267.75,100.0
CLT1259,1748.3,10.0,1758.3,99.43
CLT3637,1579.75,0.0,1579.75,100.0
CLT1842,2787.0,0.0,2787.0,100.0
CLT2644,54.55,0.0,54.55,100.0
CLT3264,2261.0,0.0,2261.0,100.0
CLT2752,469.25,0.0,469.25,100.0
CLT3985,976.5,0.0,976.5,100.0
CLT2725,23.5,0.0,23.5,100.0
CLT1049,1350.75,0.0,1350.75,100.0
CLT1868,77.84999999999998,0.0,77.84999999999998,100.0
CLT2592,78.9,0.0,78.9,100.0
CLT3157,135.75,0.0,135.75,100.0
CLT3736,2072.9500000000007,0.0,2072.9500000000007,100.0
CLT2496,931.25,0.0,931.25,100.0
CLT1805,1260.0300000000013,0.0,1260.0300000000013,100.0
CLT2424,66.25,0.0,66.25,100.0
CLT1223,267.5,0.0,267.5,100.0
CLT2581,835.3,0.0,835.3,100.0
CLT1375,307.75,0.0,307.75,100.0
CLT1794,124.75,0.0,124.75,100.0
CLT3360,373.5,0.0,373.5,100.0
CLT2857,117.75,0.0,117.75,100.0
CLT2242,7.4,0.0,7.4,100.0
CLT2922,9.76,0.0,9.76,100.0
CLT1897,102.94999999999999,0.0,102.94999999999999,100.0
CLT1177,9.85,0.0,9.85,100.0
CLT1522,60.1,0.0,60.1,100.0
CLT1504,1365.8,0.0,1365.8,100.0
CLT2956,333.75,0.0,333.75,100.0
CLT1853,30.0,0.0,30.0,100.0
CLT1439,490.75,0.0,490.75,100.0
CLT1598,278.0,0.0,278.0,100.0
CLT3125,30.35,0.0,30.35,100.0
CLT1518,23.95,0.0,23.95,100.0
CLT3163,6.35,0.0,6.35,100.0
CLT1438,97.54999999999998,0.0,97.54999999999998,100.0
CLT2130,176.54999999999993,0.0,176.54999999999993,100.0
CLT3767,60.45,0.0,60.45,100.0
CLT3121,23.25,0.0,23.25,100.0
CLT3923,45.75,0.0,45.75,100.0
CLT3352,38.099999999999994,0.0,38.099999999999994,100.0
CLT1791,72.25,0.0,72.25,100.0
CLT2989,5.75,0.0,5.75,100.0
CLT1209,116.75,0.0,116.75,100.0
CLT3604,11355.5,0.0,11355.5,100.0
CLT1901,69.14999999999999,0.0,69.14999999999999,100.0
CLT1941,2326.25,0.0,2326.25,100.0
CLT1159,94.82999999999998,0.0,94.82999999999998,100.0
CLT1192,77.5,0.0,77.5,100.0
CLT2326,44.75,0.0,44.75,100.0
CLT4029,875.75,0.0,875.75,100.0
CLT3618,106.5,0.0,106.5,100.0
CLT2960,301.2,0.0,301.2,100.0
CLT2611,12.3,0.0,12.3,100.0
CLT3053,3.2,0.0,3.2,100.0
CLT3673,129.15000000000003,0.0,129.15000000000003,100.0
CLT3724,97.10000000000002,0.0,97.10000000000002,100.0
CLT3774,4.0,0.0,4.0,100.0
CLT1547,2.1,0.0,2.1,100.0
CLT1845,10.85,0.0,10.85,100.0
CLT1811,300.0,0.0,300.0,100.0
CLT2537,53.75000000000002,0.0,53.75000000000002,100.0
CLT1613,170.54999999999998,0.0,170.54999999999998,100.0
CLT3379,583.0,0.0,583.0,100.0
CLT2020,521.9,0.0,521.9,100.0
CLT3372,2912.3999999999983,0.0,2912.3999999999983,100.0
CLT1336,62.2,0.0,62.2,100.0
CLT3780,143.19999999999996,0.0,143.19999999999996,100.0
CLT2942,273.47999999999996,0.0,273.47999999999996,100.0
CLT3925,59.8,0.0,59.8,100.0
CLT1913,66.75,0.0,66.75,100.0
CLT3339,59.650000000000006,0.0,59.650000000000006,100.0
CLT2907,136.10000000000002,0.0,136.10000000000002,100.0
CLT1937,337.47,0.0,337.47,100.0
CLT2081,12.299999999999999,0.0,12.299999999999999,100.0
CLT1174,926.05,0.0,926.05,100.0
CLT3679,559.92,0.0,559.92,100.0
CLT2598,63.649999999999984,0.0,63.649999999999984,100.0
CLT1299,29.85,0.0,29.85,100.0
CLT3852,55.0,0.0,55.0,100.0
CLT2324,14.25,0.0,14.25,100.0
CLT1362,142.65,0.0,142.65,100.0
CLT2230,53.05,0.0,53.05,100.0
CLT3249,57.0,0.0,57.0,100.0
CLT3291,310.44999999999993,0.0,310.44999999999993,100.0
CLT1792,49.80000000000002,0.0,49.80000000000002,100.0
CLT2093,278.38,0.0,278.38,100.0
CLT3371,186.04999999999998,0.0,186.04999999999998,100.0
CLT3717,117.36000000000006,0.0,117.36000000000006,100.0
CLT3611,100.75,0.0,100.75,100.0
CLT3968,363.25,0.0,363.25,100.0
CLT1535,497.8500000000001,0.0,497.8500000000001,100.0
CLT3063,19.6,0.0,19.6,100.0
CLT2313,159.25,0.0,159.25,100.0
CLT1497,100.75,0.0,100.75,100.0
CLT2088,42.2,0.0,42.2,100.0
CLT1363,38.42999999999999,0.0,38.42999999999999,100.0
CLT1445,630.1600000000009,0.0,630.1600000000009,100.0
CLT3577,163.25,0.0,163.25,100.0
CLT2379,268.25,0.0,268.25,100.0
CLT1089,244.0,0.0,244.0,100.0
CLT3722,117.7,0.0,117.7,100.0
CLT2795,836.5,0.0,836.5,100.0
CLT3458,54.2,0.0,54.2,100.0
CLT1554,60.95,0.0,60.95,100.0
CLT3467,44.599999999999994,0.0,44.599999999999994,100.0
CLT3807,33.25,0.0,33.25,100.0
CLT1869,936.85,0.0,936.85,100.0
CLT1077,41.69999999999999,0.0,41.69999999999999,100.0
CLT3319,123.39999999999996,0.0,123.39999999999996,100.0
CLT3761,142.29999999999998,0.0,142.29999999999998,100.0
CLT3282,165.25,0.0,165.25,100.0
CLT2162,37.1,0.0,37.1,100.0
CLT3840,49.900000000000006,0.0,49.900000000000006,100.0
CLT1931,449.6800000000001,0.0,449.6800000000001,100.0
CLT1896,226.5,0.0,226.5,100.0
CLT3405,2.5,0.0,2.5,100.0
CLT1789,4.25,0.0,4.25,100.0
CLT2895,102.25,0.0,102.25,100.0
CLT3152,85.0,0.0,85.0,100.0
CLT1623,65.55000000000001,0.0,65.55000000000001,100.0
CLT1771,1.75,0.0,1.75,100.0
CLT2745,66.75,0.0,66.75,100.0
CLT1294,5.0,0.0,5.0,100.0
CLT3972,13.35,0.0,13.35,100.0
CLT2037,226.24999999999991,0.0,226.24999999999991,100.0
CLT2563,87.74999999999999,0.0,87.74999999999999,100.0
CLT1268,1152.3,0.0,1152.3,100.0
CLT1891,57.25,0.0,57.25,100.0
CLT1391,107.15,0.0,107.15,100.0
CLT3437,4.75,0.0,4.75,100.0
CLT2183,30.6,0.0,30.6,100.0
CLT3813,56.99,0.0,56.99,100.0
CLT3648,57.949999999999996,0.0,57.949999999999996,100.0
CLT1722,110.75,0.0,110.75,100.0
CLT2921,313.5,0.0,313.5,100.0
CLT2560,25.6,0.0,25.6,100.0
CLT1147,13.25,0.0,13.25,100.0
CLT1008,12.6,0.0,12.6,100.0
CLT2881,22.049999999999997,0.0,22.049999999999997,100.0
CLT2597,103.25,0.0,103.25,100.0
CLT3239,37.20000000000001,0.0,37.20000000000001,100.0
CLT3504,71.8,0.0,71.8,100.0
CLT2118,33.55,0.0,33.55,100.0
CLT2698,222.5,0.0,222.5,100.0
CLT1426,34.0,0.0,34.0,100.0
CLT1590,44.050000000000004,0.0,44.050000000000004,100.0
CLT3104,36.25,0.0,36.25,100.0
CLT2495,110.3,0.0,110.3,100.0
CLT3453,23.5,0.0,23.5,100.0
CLT2920,243.45000000000005,0.0,243.45000000000005,100.0
CLT2711,1.5,0.0,1.5,100.0
CLT2794,10.0,0.0,10.0,100.0
CLT2817,10.25,0.0,10.25,100.0
CLT3027,2.75,0.0,2.75,100.0
CLT3396,67.05,0.0,67.05,100.0
CLT3089,106.9,0.0,106.9,100.0
CLT2785,15.850000000000001,0.0,15.850000000000001,100.0
CLT1581,77.05,0.0,77.05,100.0
CLT1390,162.5,0.0,162.5,100.0
CLT1861,3341.0,0.0,3341.0,100.0
CLT2630,32.800000000000004,0.0,32.800000000000004,100.0
CLT1850,38.15,0.0,38.15,100.0
CLT3200,613.25,0.0,613.25,100.0
CLT1188,128.0,0.0,128.0,100.0
CLT1169,58.75,0.0,58.75,100.0
CLT2221,52.5,0.0,52.5,100.0
CLT2060,542.4200000000002,0.0,542.4200000000002,100.0
CLT1158,23.550000000000004,0.0,23.550000000000004,100.0
CLT3791,485.79,0.0,485.79,100.0
CLT2151,91.75,0.0,91.75,100.0
CLT1239,11.5,0.0,11.5,100.0
CLT1848,1251.8,0.0,1251.8,100.0
CLT1238,136.75999999999996,0.0,136.75999999999996,100.0
CLT3391,249.25,0.0,249.25,100.0
CLT2669,64.3,0.0,64.3,100.0
CLT1751,30.900000000000006,0.0,30.900000000000006,100.0
CLT1864,0.25,0.0,0.25,100.0
CLT3909,35.650000000000006,0.0,35.650000000000006,100.0
CLT2965,1074.3499999999985,0.0,1074.3499999999985,100.0
CLT2701,100.48,0.0,100.48,100.0
CLT3817,27.8,0.0,27.8,100.0
CLT1606,2212.549999999986,0.0,2212.549999999986,100.0
CLT2436,45.489999999999995,0.0,45.489999999999995,100.0
CLT1719,50.0,0.0,50.0,100.0
CLT2457,25.2,0.0,25.2,100.0
CLT2290,268.08000000000004,0.0,268.08000000000004,100.0
CLT3519,9.399999999999999,0.0,9.399999999999999,100.0
CLT1067,25.070000000000004,0.0,25.070000000000004,100.0
CLT1981,35.849999999999994,0.0,35.849999999999994,100.0
CLT1126,33.05,0.0,33.05,100.0
CLT2269,37.300000000000004,0.0,37.300000000000004,100.0
CLT1666,277.5,0.0,277.5,100.0
CLT2260,1235.0,0.0,1235.0,100.0
CLT2046,0.5,0.0,0.5,100.0
CLT3220,13.750000000000002,0.0,13.750000000000002,100.0
CLT2651,475.75,0.0,475.75,100.0
CLT2491,240.75,0.0,240.75,100.0
CLT2565,45.150000000000006,0.0,45.150000000000006,100.0
CLT1001,25.1,0.0,25.1,100.0
CLT2295,10.049999999999999,0.0,10.049999999999999,100.0
CLT2753,121.2,0.0,121.2,100.0
CLT3399,46.5,0.0,46.5,100.0
CLT2525,42.6,0.0,42.6,100.0
CLT1330,27.75,0.0,27.75,100.0
CLT3607,1209.25,0.0,1209.25,100.0
CLT4019,11.65,0.0,11.65,100.0
CLT3011,66.75,0.0,66.75,100.0
CLT1404,30.149999999999995,0.0,30.149999999999995,100.0
CLT3283,70.25,0.0,70.25,100.0
CLT2147,12.75,0.0,12.75,100.0
CLT1215,162.0,0.0,162.0,100.0
CLT3693,734.5,0.0,734.5,100.0
CLT2863,17.25,0.0,17.25,100.0
CLT2207,60.90000000000001,0.0,60.90000000000001,100.0
CLT1543,19.0,0.0,19.0,100.0
CLT2823,19.4,0.0,19.4,100.0
